&IN
 ETA= 0.83999999999999997     ,
 XI0= 0.12110000000000000     ,
 BETA=  4.8399999999999999     ,
 P=-0.29999999999999999     ,
 K0=  3.8399999999999999     ,
 KF=  1.0000000000000000     ,
 L0=  8.0000000000000000     ,
 LF=  30.000000000000000     ,
 LM=  20.000000000000000     ,
 LW=  5.0000000000000000     ,
 T0=  125.59999999999999     ,
 TF=  257.00000000000000     ,
 VS=  2.4529999999999998     ,
 NMAX=10000      ,
 /
  0.83999999999999997     
  0.12110000000000000     
   4.8399999999999999     
 -0.29999999999999999     
   3.8399999999999999     
   1.0000000000000000     
   8.0000000000000000     
   30.000000000000000     
   20.000000000000000     
   5.0000000000000000     
   125.59999999999999     
   257.00000000000000     
   2.4529999999999998     
       10000
   2.2000000000000001E-003

L                        T                        Ta                       v                        
    0.82662000000000E+01     0.13598797545443E+03     0.11429633763634E+03     0.26757054316495E+01     0.38387163379152E+01
    0.82684000000000E+01     0.13606662766692E+03     0.11420980730008E+03     0.26840306988847E+01     0.38387134746460E+01
    0.82706000000000E+01     0.13614516811740E+03     0.11412324354496E+03     0.26923801981410E+01     0.38387106054588E+01
    0.82728000000000E+01     0.13622359695133E+03     0.11403692437806E+03     0.27007539947790E+01     0.38387077303424E+01
    0.82750000000000E+01     0.13630191431398E+03     0.11395057126771E+03     0.27091521543193E+01     0.38387048492857E+01
    0.82772000000000E+01     0.13638012035040E+03     0.11386446269928E+03     0.27175747424431E+01     0.38387019622775E+01
    0.82794000000000E+01     0.13645821520543E+03     0.11377831966349E+03     0.27260218249945E+01     0.38386990693066E+01
    0.82816000000000E+01     0.13653619902368E+03     0.11369242112455E+03     0.27344934679801E+01     0.38386961703618E+01
    0.82838000000000E+01     0.13661407194956E+03     0.11360648759498E+03     0.27429897375671E+01     0.38386932654320E+01
    0.82860000000000E+01     0.13669183412727E+03     0.11352079851842E+03     0.27515107000871E+01     0.38386903545059E+01
    0.82882000000000E+01     0.13676948570077E+03     0.11343507392864E+03     0.27600564220326E+01     0.38386874375723E+01
